price,address,bds,ba,sqft,image
"$400,500","2439 Wood Trail Ln, Decatur, GA 30033",3,2,"1,292","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$127,000","447 Sherwood Cir, Stone Mountain, GA 30087",3,2,"1,382","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$535,000","5067 Mount Vernon Way, Atlanta, GA 30338",4,3,"2,733","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$265,000","2109 Shady Ln, Tucker, GA 30084",3,2,"2,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$365,000","2461 Harrington Dr, Decatur, GA 30033",3,2,"1,276","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$165,000","6488 Chestnut Lake Xing, Lithonia, GA 30038",4,3,"1,965","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$285,000","5409 Winding Glen Dr, Lithonia, GA 30038",5,3,"3,783",https://photos.zillowstatic.com/p_e/IS7qrs6b3m62tg0000000000.jpg
"$169,900","3629 Burlingham Dr, Lithonia, GA 30038",4,3,"1,952",https://photos.zillowstatic.com/p_e/ISnetqilisqgeh0000000000.jpg
"$165,000","6488 Chestnut Lake Xing, Lithonia, GA 30038",4,3,"1,965",https://photos.zillowstatic.com/p_e/IS3rdrb9d2yyt81000000000.jpg
"$45,000","8103 Fairington Village Dr, Lithonia, GA 30038",3,2,"1,292",https://photos.zillowstatic.com/p_e/IS33jzyw5od5yb0000000000.jpg
"$117,000","3671 Harvest Dr, Decatur, GA 30034",2,3,"1,460",https://photos.zillowstatic.com/p_e/ISfof8gnffjuo41000000000.jpg
