price,address,bds,ba,sqft,image
"$221,000","2100 Blueberry Ln, Conyers, GA 30013",4,3,"2,367","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$175,000","562 Smyrna Rd SW, Conyers, GA 30012",3,1.5,"1,380",N/A
"$186,900","2770 Lake Capri Dr, Conyers, GA 30012",3,2,"2,272","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$125,000","4778 Cedar Lake Dr SE, Conyers, GA 30094",3,2,"1,494","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$374,650","1508 N Point Ct SW, Conyers, GA 30094",4,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$45,000","3205 Lucky Pl, Conyers, GA 30013",--,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$75,000","1314 Farmer Rd NW, Conyers, GA 30012",10,1,"1,592",N/A
"$90,000","3382 Salem East Dr SE, Conyers, GA 30013",3,2,"2,088",N/A
"$270,000","1702 River Mill Trl NE, Conyers, GA 30012",6,4,"3,009","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$125,000","3172 N Oak Ct, Conyers, GA 30094",3,3,"1,599",N/A
"$374,650","1508 N Point Ct SW #27, Conyers, GA 30094",4,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$270,000","1702 River Mill Trl NE #86, Conyers, GA 30012",6,4,"4,409","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$225,000","1354 Hill Dr SW, Conyers, GA 30094",5,4,"3,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$155,000","4028 River Garden Cir, Covington, GA 30016",3,2,"1,596","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$421,000","1808 Kings Row, Conyers, GA 30012",5,5,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$421,000","1808 Kings Row #3, Conyers, GA 30012",5,5,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$219,400","2206 Chase Way SE, Conyers, GA 30013",3,2,"2,465","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$110,000","2090 Lost Forest Ln SW, Conyers, GA 30094",4,3,"1,971","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$159,900","2821 Sunday Rd, Stockbridge, GA 30281",3,2,"1,952","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$167,000","903 Curry Cir SE, Conyers, GA 30094",3,2,"1,330","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$450,000","3109 Trafalgar Ct #10, Conyers, GA 30094",5,4,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$450,000","3109 7th Century Row SW, Conyers, GA 30094",0.66,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$200,000","4773 Cedar Lake Dr SE, Conyers, GA 30094",3,2,"1,831","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$412,900","1300 Ruth Ln SW #59, Conyers, GA 30094",5,5,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$660,000","2385 White Rd NE, Conyers, GA 30012",4,4,"3,831","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$412,900","1300 Ruth Ln SW, Conyers, GA 30094",5,5,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$145,000","4831 Navajo Trl SE, Conyers, GA 30094",3,2,"1,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$334,550","2117 Ginger Estates Dr NE, Conyers, GA 30013",5,4,"2,984","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$240,000","5360 Tanager Ter SW #78, Conyers, GA 30094",4,4,"2,271",https://photos.zillowstatic.com/p_e/ISb95v107tpyp81000000000.jpg
"$185,000","3382 Berkshire Bnd SE, Conyers, GA 30013",3,3,"2,151",https://photos.zillowstatic.com/p_e/ISfkgqj15pc6u21000000000.jpg
"$300,000","1758 Bob White Ln SE, Conyers, GA 30013",10,12,"5,404",https://photos.zillowstatic.com/p_e/ISzngori10glme1000000000.jpg
"$371,900","3602 Camille Ave, Conyers, GA 30013",5,4,--,https://photos.zillowstatic.com/p_e/ISr5593eiulg7c0000000000.jpg
"$185,000","3228 Quincey Xing, Conyers, GA 30013",3,3,"1,865",https://photos.zillowstatic.com/p_e/ISbpxjk2b147rl1000000000.jpg
"$300,000","2121 Torbay Dr, Conyers, GA 30013",5,4,"3,084",https://photos.zillowstatic.com/p_e/ISb9h84swm6otl0000000000.jpg
"$432,500","2694 Harvest Dr SE, Conyers, GA 30013",5,5,"6,458",https://photos.zillowstatic.com/p_e/ISbly96kt6gmp40000000000.jpg
"$165,900","2052 Wildflower Way, Conyers, GA 30012",3,3,"1,421",https://photos.zillowstatic.com/p_e/ISfcqg0liixr9v1000000000.jpg
"$210,000","2561 Union Church Rd SW, Stockbridge, GA 30281",3,2,"2,028",https://photos.zillowstatic.com/p_e/ISnud9r996g4h61000000000.jpg
"$254,970","1322 Brookstone Lake Dr, Conyers, GA 30012",5,3,"2,533","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$13,000","4046 Union Church Rd SW, Stockbridge, GA 30281",--,--,--,N/A
"$163,900","2048 Wildflower Way, Conyers, GA 30012",3,3,"1,421","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$164,000","1116 Plantation Dr SE, Conyers, GA 30094",3,2,"1,598","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
