price,beds,baths,square_feet,Cherokee,Clayton,Cobb,DeKalb,Douglas,Fayette,Fulton,Gwinnett,Henry,Rockdale
755000.0,6.0,5.0,5685.0,0,0,1,0,0,0,0,0,0,0
358020.0,3.0,4.0,2184.0,0,0,0,0,0,0,1,0,0,0
265000.0,3.0,4.0,1963.0,0,0,0,0,0,0,1,0,0,0
238900.0,3.0,3.0,1680.0,0,0,0,0,0,0,1,0,0,0
224800.0,1.0,1.0,1021.0,0,0,0,0,0,0,1,0,0,0
252000.0,3.0,2.0,1593.0,0,0,0,0,0,0,1,0,0,0
259900.0,2.0,2.0,2040.0,0,0,0,0,0,0,1,0,0,0
365000.0,2.0,2.0,1478.0,0,0,0,0,0,0,1,0,0,0
204000.0,2.0,2.0,1156.0,0,0,0,0,0,0,1,0,0,0
200000.0,2.0,2.0,1375.0,0,0,0,0,0,0,1,0,0,0
238400.0,1.0,1.0,770.0,0,0,0,0,0,0,1,0,0,0
430000.0,4.0,4.0,3482.0,0,0,0,0,0,0,1,0,0,0
191000.0,2.0,2.0,1270.0,0,0,0,0,0,0,1,0,0,0
475000.0,4.0,5.0,4300.0,0,0,0,0,0,0,1,0,0,0
191000.0,2.0,2.0,1270.0,0,0,0,0,0,0,1,0,0,0
242500.0,3.0,2.0,1593.0,0,0,0,0,0,0,1,0,0,0
1230000.0,6.0,6.0,6002.0,0,0,0,0,0,0,1,0,0,0
265000.0,3.0,3.0,1936.0,0,0,0,0,0,0,1,0,0,0
255000.0,2.0,2.0,1371.0,0,0,0,0,0,0,1,0,0,0
195000.0,2.0,2.0,1350.0,0,0,0,0,0,0,1,0,0,0
725000.0,3.0,2.0,2443.0,0,0,0,0,0,0,1,0,0,0
267000.0,3.0,4.0,2328.0,0,0,0,0,0,0,1,0,0,0
350000.0,4.0,4.0,2345.0,0,0,0,0,0,0,1,0,0,0
310000.0,2.0,2.0,1310.0,0,0,0,0,0,0,1,0,0,0
198000.0,1.0,1.0,850.0,0,0,0,0,0,0,1,0,0,0
557500.0,5.0,5.0,4846.0,0,0,1,0,0,0,0,0,0,0
230000.0,3.0,1.0,1305.0,0,0,1,0,0,0,0,0,0,0
468000.0,3.0,4.0,2128.0,0,0,1,0,0,0,0,0,0,0
535000.0,4.0,4.0,3296.0,0,0,1,0,0,0,0,0,0,0
137000.0,3.0,1.0,1126.0,0,0,1,0,0,0,0,0,0,0
347500.0,3.0,2.0,1258.0,0,0,1,0,0,0,0,0,0,0
115000.0,3.0,1.0,984.0,0,0,1,0,0,0,0,0,0,0
275000.0,3.0,2.0,2093.0,0,0,1,0,0,0,0,0,0,0
333000.0,3.0,4.0,1687.0,0,0,1,0,0,0,0,0,0,0
335000.0,3.0,2.0,1195.0,0,0,1,0,0,0,0,0,0,0
