price,address,bds,ba,sqft,image
"$290,000","323 Split Rail Way, Canton, GA 30115",4,3,"2,308","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$314,000","406 Brookes Walk, Woodstock, GA 30188",3,3,"1,944",N/A
"$289,400","516 Waterfall Dr, Canton, GA 30114",4,3,"2,824","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$250,000","730 Osco Pkwy, Woodstock, GA 30188",3,2,"1,424","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$350,000","3013 Summer Point Dr, Woodstock, GA 30189",5,4,"3,373","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$412,000","275 Mitchell Ln #30, Woodstock, GA 30188",3,4,"2,142","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$55,000","0 Reinhardt College Pkwy LOT 0, Canton, GA 30114",232.71,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$449,900","113 Wayfair Overlook Dr, Woodstock, GA 30188",5,4,"3,730",N/A
"$280,000","915 Silver Lake Dr, Acworth, GA 30102",3,3,"2,485","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$330,000","425 Livingston Point, Acworth, GA 30102",4,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$167,500","231 Cottonwood Creek Cir, Canton, GA 30114",2,2,"1,007","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$335,000","129 Cherokee Reserve Cir, Canton, GA 30115",4,3,"3,202","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$380,000","101 Holly View Ln, Holly Springs, GA 30114",4,3,"2,950","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$302,200","166 S Village Ave, Canton, GA 30115",3,3,"2,213",N/A
"$405,000","409 Frazier St, Woodstock, GA 30189",--,--,--,N/A
